dim,total,iter,pi_est,count
2,500000,51,3.14222400,392778
2,500000,52,3.14099200,392624
2,500000,53,3.14017600,392522
2,500000,54,3.14159200,392699
2,500000,55,3.14232000,392790
2,500000,56,3.14256000,392820
2,500000,57,3.14003200,392504
2,500000,58,3.14194400,392743
2,500000,59,3.14040000,392550
2,500000,60,3.14317600,392897
2,500000,61,3.14276800,392846
2,500000,62,3.14464800,393081
2,500000,63,3.14430400,393038
2,500000,64,3.13772000,392215
2,500000,65,3.14112800,392641
2,500000,66,3.14004800,392506
2,500000,67,3.13979200,392474
2,500000,68,3.13855200,392319
2,500000,69,3.14389600,392987
2,500000,70,3.14304800,392881
2,500000,71,3.13631200,392039
2,500000,72,3.14136800,392671
2,500000,73,3.14320000,392900
2,500000,74,3.14108800,392636
2,500000,75,3.14084000,392605
2,500000,76,3.14254400,392818
2,500000,77,3.14271200,392839
2,500000,78,3.14432000,393040
2,500000,79,3.14378400,392973
2,500000,80,3.14149600,392687
2,500000,81,3.14104800,392631
2,500000,82,3.14222400,392778
2,500000,83,3.14421600,393027
2,500000,84,3.14388000,392985
2,500000,85,3.14184000,392730
2,500000,86,3.13659200,392074
2,500000,87,3.14230400,392788
2,500000,88,3.13975200,392469
2,500000,89,3.13707200,392134
2,500000,90,3.13870400,392338
2,500000,91,3.14072800,392591
2,500000,92,3.14214400,392768
2,500000,93,3.14190400,392738
2,500000,94,3.14403200,393004
2,500000,95,3.14109600,392637
2,500000,96,3.14327200,392909
2,500000,97,3.14252000,392815
2,500000,98,3.14191200,392739
2,500000,99,3.14137600,392672
2,500000,summary,3.14156232,0.00208052
2,1000000,0,3.14077600,785194
2,1000000,1,3.14038400,785096
2,1000000,2,3.14318000,785795
2,1000000,3,3.13940800,784852
2,1000000,4,3.14132400,785331
2,1000000,5,3.14222400,785556
2,1000000,6,3.14303600,785759
2,1000000,7,3.13901600,784754
2,1000000,8,3.14210800,785527
2,1000000,9,3.14249200,785623
2,1000000,10,3.14020800,785052
2,1000000,11,3.14154800,785387
2,1000000,12,3.14238800,785597
2,1000000,13,3.14190400,785476
2,1000000,14,3.14174400,785436
2,1000000,15,3.14336400,785841
2,1000000,16,3.14289200,785723
2,1000000,17,3.14158400,785396
2,1000000,18,3.14117200,785293
2,1000000,19,3.14080400,785201
2,1000000,20,3.14269200,785673
2,1000000,21,3.14163600,785409
2,1000000,22,3.14392800,785982
2,1000000,23,3.14006800,785017
2,1000000,24,3.14261200,785653
2,1000000,25,3.14076400,785191
2,1000000,26,3.14119200,785298
2,1000000,27,3.14159600,785399
2,1000000,28,3.14350400,785876
2,1000000,29,3.14198800,785497
2,1000000,30,3.13995600,784989
2,1000000,31,3.14121600,785304
2,1000000,32,3.14208400,785521
2,1000000,33,3.14182000,785455
2,1000000,34,3.13970000,784925
2,1000000,35,3.14210400,785526
2,1000000,36,3.14174000,785435
2,1000000,37,3.14264400,785661
2,1000000,38,3.14222400,785556
